date,abandoned,connected,disconnected,neverseen,cc
2018-12-07,9,2,4,0,EG
2018-12-06,9,3,3,0,EG
2018-12-05,9,3,3,0,EG
2018-12-04,9,4,2,0,EG
2018-12-03,9,4,1,1,EG
2018-12-02,9,3,2,1,EG
2018-12-01,9,3,1,1,EG
2018-11-30,9,3,1,1,EG
2018-11-29,9,3,1,1,EG
2018-11-28,9,3,1,1,EG
2018-11-27,9,3,1,1,EG
2018-11-26,9,3,1,1,EG
2018-11-25,9,3,1,1,EG
2018-11-24,9,3,1,0,EG
2018-11-23,9,3,1,0,EG
2018-11-22,9,3,1,0,EG
2018-11-21,9,3,1,0,EG
2018-11-20,9,3,1,0,EG
2018-11-19,9,2,1,1,EG
2018-11-18,9,2,1,1,EG
2018-11-17,9,2,1,0,EG
2018-11-16,9,3,0,0,EG
2018-11-15,9,2,1,0,EG
2018-11-14,9,2,1,0,EG
2018-11-13,9,2,1,0,EG
2018-11-12,9,2,1,0,EG
2018-11-11,9,1,2,0,EG
2018-11-10,9,1,2,0,EG
2018-11-09,9,1,2,0,EG
2018-11-08,9,1,2,0,EG
2018-11-07,9,2,1,0,EG
2018-11-06,9,1,2,0,EG
2018-11-05,9,2,1,0,EG
2018-11-04,9,2,1,0,EG
2018-11-03,9,2,1,0,EG
2018-11-02,9,1,2,0,EG
2018-11-01,9,1,2,0,EG
2018-10-31,9,2,1,0,EG
2018-10-30,9,2,1,0,EG
2018-10-29,9,2,1,0,EG
2018-10-28,9,1,2,0,EG
2018-10-27,9,2,1,0,EG
2018-10-26,9,2,1,0,EG
2018-10-25,9,2,1,0,EG
2018-10-24,9,1,2,0,EG
2018-10-23,9,2,1,0,EG
2018-10-22,9,2,1,0,EG
2018-10-21,9,2,1,0,EG
2018-10-20,9,2,1,0,EG
2018-10-19,9,2,1,0,EG
2018-10-18,9,2,1,0,EG
2018-10-17,9,2,1,0,EG
2018-10-16,9,2,1,0,EG
2018-10-15,9,2,1,0,EG
2018-10-14,9,2,1,0,EG
2018-10-13,9,2,1,0,EG
2018-10-12,9,2,1,0,EG
2018-10-11,9,2,1,0,EG
2018-10-10,9,1,2,0,EG
2018-10-09,9,1,2,0,EG
2018-10-08,8,1,3,0,EG
2018-10-07,8,1,3,0,EG
2018-10-06,8,1,3,0,EG
2018-10-05,8,0,4,0,EG
2018-10-04,8,0,4,0,EG
2018-10-03,8,1,3,0,EG
2018-10-02,8,1,3,0,EG
2018-10-01,8,0,4,0,EG
2018-09-30,8,0,4,0,EG
2018-09-29,8,1,3,0,EG
2018-09-28,8,0,4,0,EG
2018-09-27,8,1,3,0,EG
2018-09-26,8,1,3,0,EG
2018-09-25,8,2,2,0,EG
2018-09-24,8,1,2,0,EG
2018-09-23,8,1,2,0,EG
2018-09-22,8,1,2,0,EG
2018-09-21,8,0,3,0,EG
2018-09-20,8,1,2,0,EG
2018-09-19,8,1,2,0,EG
2018-09-18,8,1,2,0,EG
2018-09-17,8,1,2,0,EG
2018-09-16,8,1,2,0,EG
2018-09-15,8,1,2,0,EG
2018-09-14,8,0,3,0,EG
2018-09-13,8,1,2,0,EG
2018-09-12,8,1,2,0,EG
2018-09-11,8,1,2,0,EG
2018-09-10,8,1,2,0,EG
2018-09-09,8,1,2,0,EG
2018-09-08,8,0,3,0,EG
2018-09-07,8,1,2,0,EG
2018-09-06,8,1,2,0,EG
2018-09-05,8,1,2,0,EG
2018-09-04,8,1,2,0,EG
2018-09-03,8,0,3,0,EG
2018-09-02,8,1,2,0,EG
2018-09-01,8,1,2,0,EG
2018-08-31,8,1,2,0,EG
2018-08-30,8,1,2,0,EG
2018-08-29,8,1,2,0,EG
2018-08-28,8,1,2,0,EG
2018-08-27,8,1,2,0,EG
2018-08-26,8,1,2,0,EG
2018-08-25,8,1,2,0,EG
2018-08-24,8,0,3,0,EG
2018-08-23,8,0,3,0,EG
2018-08-22,8,0,3,0,EG
2018-08-21,8,0,3,0,EG
2018-08-20,8,0,3,0,EG
2018-08-19,8,1,2,0,EG
2018-08-18,8,1,2,0,EG
2018-08-17,8,1,2,0,EG
2018-08-16,8,1,2,0,EG
2018-08-15,8,1,2,0,EG
2018-08-14,8,1,2,0,EG
2018-08-13,8,1,2,0,EG
2018-08-12,8,1,2,0,EG
2018-08-11,8,1,2,0,EG
2018-08-10,8,1,2,0,EG
2018-08-09,8,1,2,0,EG
2018-08-08,8,1,2,0,EG
2018-08-07,8,1,2,0,EG
2018-08-06,8,2,1,0,EG
2018-08-05,8,1,2,0,EG
2018-08-04,8,1,2,0,EG
2018-08-03,8,2,1,0,EG
2018-08-02,8,1,2,0,EG
2018-08-01,8,1,2,0,EG
2018-07-31,8,2,1,0,EG
2018-07-30,8,1,2,0,EG
2018-07-29,8,1,2,0,EG
2018-07-28,8,1,2,0,EG
2018-07-27,8,1,2,0,EG
2018-07-26,8,1,2,0,EG
2018-07-25,8,1,2,0,EG
2018-07-24,8,2,1,0,EG
2018-07-23,8,1,2,0,EG
2018-07-22,8,2,1,0,EG
2018-07-21,8,2,1,0,EG
2018-07-20,8,2,1,0,EG
2018-07-19,8,2,1,0,EG
2018-07-18,8,1,2,0,EG
2018-07-17,8,1,2,0,EG
2018-07-16,8,2,1,0,EG
2018-07-15,8,2,1,0,EG
2018-07-14,8,2,1,0,EG
2018-07-13,8,2,1,0,EG
2018-07-12,8,2,1,0,EG
2018-07-11,8,2,1,0,EG
2018-07-10,8,2,1,0,EG
2018-07-09,8,0,3,0,EG
2018-07-08,8,1,2,0,EG
2018-07-07,8,0,3,0,EG
2018-07-06,8,1,2,0,EG
2018-07-05,8,1,2,0,EG
2018-07-04,8,1,2,0,EG
2018-07-03,8,1,2,0,EG
2018-07-02,8,1,2,0,EG
2018-07-01,8,1,2,0,EG
2018-06-30,8,1,2,0,EG
2018-06-29,8,1,2,0,EG
2018-06-28,8,1,2,0,EG
2018-06-27,8,1,2,0,EG
2018-06-26,8,1,2,0,EG
2018-06-25,8,1,2,0,EG
2018-06-24,8,1,2,0,EG
2018-06-23,8,1,2,0,EG
2018-06-22,8,1,2,0,EG
2018-06-21,8,1,2,0,EG
2018-06-20,8,1,2,0,EG
2018-06-19,8,1,2,0,EG
2018-06-18,8,1,2,0,EG
2018-06-17,8,1,2,0,EG
2018-06-16,8,1,2,0,EG
2018-06-15,8,1,2,0,EG
2018-06-14,8,1,2,0,EG
2018-06-13,8,0,3,0,EG
2018-06-12,8,1,2,0,EG
2018-06-11,8,1,2,0,EG
2018-06-10,8,1,2,0,EG
2018-06-09,8,0,3,0,EG
2018-06-08,8,1,2,0,EG
2018-06-07,8,1,2,0,EG
2018-06-06,8,1,2,0,EG
2018-06-05,8,1,2,0,EG
2018-06-04,8,2,1,0,EG
2018-06-03,8,1,2,0,EG
2018-06-02,8,1,2,0,EG
2018-06-01,8,0,3,0,EG
2018-05-31,8,0,3,0,EG
2018-05-30,8,1,2,0,EG
2018-05-29,8,1,2,0,EG
2018-05-28,8,1,2,0,EG
2018-05-27,8,1,2,0,EG
2018-05-26,8,1,2,0,EG
2018-05-25,8,1,2,0,EG
2018-05-24,8,1,2,0,EG
2018-05-23,8,1,2,0,EG
2018-05-22,8,1,2,0,EG
2018-05-21,8,1,2,0,EG
2018-05-20,8,1,2,0,EG
2018-05-19,8,1,2,0,EG
2018-05-18,8,1,2,0,EG
2018-05-17,8,1,2,0,EG
2018-05-16,8,1,2,0,EG
2018-05-15,8,1,2,0,EG
2018-05-14,8,0,3,0,EG
2018-05-13,8,2,1,0,EG
2018-05-12,8,1,2,0,EG
2018-05-11,8,1,2,0,EG
2018-05-10,8,1,2,0,EG
2018-05-09,8,1,2,0,EG
2018-05-08,8,2,1,0,EG
2018-05-07,8,2,1,0,EG
2018-05-06,8,1,2,0,EG
2018-05-05,8,0,3,0,EG
2018-05-04,8,0,3,0,EG
2018-05-03,8,1,2,0,EG
2018-05-02,8,1,2,0,EG
2018-05-01,8,2,1,0,EG
2018-04-30,8,1,2,0,EG
2018-04-29,8,1,2,0,EG
2018-04-28,8,2,1,0,EG
2018-04-27,8,1,2,0,EG
2018-04-26,8,1,2,0,EG
2018-04-25,8,1,2,0,EG
2018-04-24,8,0,3,0,EG
2018-04-23,8,1,2,0,EG
2018-04-22,8,1,2,0,EG
2018-04-21,8,1,2,0,EG
2018-04-20,8,2,1,0,EG
2018-04-19,8,1,2,0,EG
2018-04-18,8,1,2,0,EG
2018-04-17,8,0,3,0,EG
2018-04-16,8,2,1,0,EG
2018-04-15,8,1,2,0,EG
2018-04-14,8,1,2,0,EG
2018-04-13,8,0,3,0,EG
2018-04-12,8,1,2,0,EG
2018-04-11,8,1,2,0,EG
2018-04-10,8,1,2,0,EG
2018-04-09,8,0,3,0,EG
2018-04-08,8,0,3,0,EG
2018-04-07,8,1,2,0,EG
2018-04-06,8,0,3,0,EG
2018-04-05,8,1,2,0,EG
2018-04-04,8,1,2,0,EG
2018-04-03,8,2,1,0,EG
2018-04-02,8,2,1,0,EG
2018-04-01,8,2,1,0,EG
2018-03-31,8,2,1,0,EG
2018-03-30,8,2,1,0,EG
2018-03-29,8,1,2,0,EG
2018-03-28,8,2,1,0,EG
2018-03-27,8,1,2,0,EG
2018-03-21,8,1,2,0,EG
2018-03-20,8,1,2,0,EG
2018-03-19,8,0,3,0,EG
2018-03-18,8,1,2,0,EG
2018-03-17,8,1,2,0,EG
2018-03-16,8,0,3,0,EG
2018-03-15,8,1,2,0,EG
2018-03-14,8,1,2,0,EG
2018-03-13,8,1,2,0,EG
2018-03-12,8,1,2,0,EG
2018-03-11,8,1,2,0,EG
2018-03-10,8,1,2,0,EG
2018-03-09,8,1,2,0,EG
2018-03-08,8,1,2,0,EG
2018-03-07,8,1,2,0,EG
2018-03-06,8,1,2,0,EG
2018-03-05,8,1,2,0,EG
2018-03-04,8,1,2,0,EG
2018-03-03,8,1,2,0,EG
2018-03-02,8,1,2,0,EG
2018-03-01,8,0,3,0,EG
2018-02-28,8,1,2,0,EG
2018-02-27,8,1,2,0,EG
2018-02-26,8,2,1,0,EG
2018-02-25,8,1,2,0,EG
